response_id,last_use,usage_experience,skill_level,lenof | _Lenof,lengthof | _Lengthof,countof | _Countof,nelemsof | _Nelemsof,nelementsof | _Nelementsof,extentof | _Extentof,"`_Keyword` and &lt;stdkeyword.h&gt;",Just `_Keyword`,Lowercase `keyword`,_Lengthof keyword; no macro in header,_Lengthof keyword; lengthof macro,lengthof keyword; no macro in header,_Extentof keyword; no macro in header,_Extentof keyword; extentof macro,extentof keyword; no macro in header,_Lenof keyword; no macro in header,_Lenof keyword; lenof macro,lenof keyword; no macro in header,_Countof keyword; no macro in header,_Countof keyword; countof macro,countof keyword; no macro in header,_Nelemsof keyword; no macro in header,_Nelemsof keyword; nelemsof macro,nelemsof keyword; no macro in header,nelementsof keyword; no macro in header,comment
16,Recently (0 to 2 years ago),20 to 30 years,Academic / Research Software Development,1,5,-1,-3,-3,-1,3,3,5,3,3,5,-1,-1,-1,1,1,1,-1,-1,-1,-3,-3,-3,-3,Thanks for doing this.
17,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,5,5,3,-5,-5,3,3,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,-1,1,3,-1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,You are awesome!
19,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,1,1,5,-1,1,-3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,3,3,-3,-3,1,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,-1,5,1,0,-3,-5,3,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,1,3,1,-1,-3,3,3,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,5,3,-1,-1,1,-3,3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-5,-5,-5,-5,-5,-5,5,3,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,"What's wrong with _Array_size and ARRAY_SIZE? nelemsof or nelementsof is way more awkward. The array size variants are used in existing projects with the same semantics. Also two word spelled out completely is in line with _Static_assert and _Thread_local, have mercy and keep the consistency, please."
25,2 to 5 years ago,10 to 20 years,Professional / Industrial Software Development,1,1,3,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,2 to 5 years ago,Recently (0 to 2 years),Hobbyist / Personal Projects,1,5,1,-5,-3,-1,1,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,-3,-1,5,-1,1,-5,3,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-5,-5,-5,-5,-5,5,-3,-5,5,-5,-5,-3,-5,-5,5,-5,-5,-3,-5,-5,-3,-5,-5,-3,-3,
29,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,3,-1,-1,5,-1,-3,-1,-1,5,-1,-1,-1,-3,-3,-3,1,1,3,-1,-1,-1,3,3,5,-3,
30,5 to 10 years ago,2 to 5 years,Professional / Industrial Software Development,-1,-1,5,-3,-5,-3,1,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I really appreciate you doing all this work. Thank you!
31,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,3,1,1,-1,-3,-3,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,5,1,-1,-1,-3,-5,1,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,Recently (0 to 2 years ago),5 to 10 years,Hobbyist / Personal Projects,3,1,5,-1,-3,1,1,-3,3,-3,-1,-1,-3,1,1,-3,1,1,-3,3,5,-3,-3,-3,-3,"My 2 cents: this decision affects people twenty years from now and forward. Think about them. Make it easy for newcomers to learn C, i.e. avoid/limit arcane incantations."
34,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,5,1,1,-3,-3,-3,3,-3,1,-1,-1,-3,-3,-3,-3,-1,5,-1,-1,-1,-3,-3,-3,-3,-3,
35,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,-1,-1,5,1,-1,-3,-3,5,-1,-3,-5,-3,0,-5,-3,-5,-5,-3,3,-1,5,-1,-3,-3,-1,
36,2 to 5 years ago,5 to 10 years,Hobbyist / Personal Projects,1,3,5,-3,-1,3,5,-1,0,1,1,-1,1,3,1,1,1,-1,1,3,-1,-5,-3,-5,-1,
37,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,1,1,3,-3,-3,5,1,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,2 to 5 years ago,5 to 10 years,Academic / Research Software Development,-1,1,3,-3,-1,3,3,-3,1,-1,1,1,-1,3,3,-3,-1,-1,-1,1,1,-5,-3,-3,1,
39,5 to 10 years ago,2 to 5 years,Hobbyist / Personal Projects,-1,-1,3,-3,-3,0,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,Recently (0 to 2 years ago),5 to 10 years,Academic / Research Software Development,5,-1,3,1,-5,5,1,-3,3,-3,1,-1,-3,3,5,-1,5,3,-3,1,1,-5,1,1,-3,
41,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,3,1,-3,-3,1,5,-5,1,-3,3,1,-3,1,1,-3,-3,-3,-3,1,1,-3,-3,-3,-3,
42,Recently (0 to 2 years ago),5 to 10 years,Academic / Research Software Development,-3,5,1,1,-1,-5,-5,-3,5,-3,-1,5,-3,-5,-3,-5,-3,3,-3,-1,1,-3,-1,-1,1,
43,2 to 5 years ago,2 to 5 years,Hobbyist / Personal Projects,1,3,-1,-3,-3,-3,1,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,-1,3,5,-1,-1,-3,3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,1,1,5,-3,-5,-5,3,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prefer countof because it's least likely to be misused on a ""string lteral"" and misinterpreted as string length with an off-by-1 error"
46,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,-1,3,-5,-5,5,5,3,-1,-1,-1,-3,3,3,1,1,-1,-1,1,-1,-1,-5,-5,-5,-5,"1d arrays are not big deal, but extent of multidimensional array is. Feature will be useful for multidimensional VLA, passing them to functions alone without specifying dimension variables"
47,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,-3,5,-5,-5,-5,-1,-1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,
48,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,-3,3,-5,-5,-5,-1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,
49,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,3,1,3,5,3,-1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,1,1,3,-1,1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,2 to 5 years ago,2 to 5 years,Academic / Research Software Development,1,3,1,-3,-3,-1,1,-3,1,-3,1,1,-3,1,1,-3,-1,-1,-3,1,1,-3,-1,-1,-1,"I think ""amountof"" and ""numberof"" are missing options. I would even prefer ""amountof"" over all listed options."
52,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,3,1,5,-3,-3,-1,-3,-5,1,-1,1,1,-1,-1,-1,-1,3,3,1,3,5,-3,-3,-3,-3,
53,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-3,3,5,1,-1,-5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I suspect if there was a header then I wouldn't use it, but I guess it wouldn't hurt; _Countof seems slightly easier than '#include &lt;stdcountof.h&gt; ... countof(...)'. One benefit I can see to '_Countof' (etc.) over 'countof' is that it makes clear 'this is new in C2y' (so C99/etc compatible code beware), but I can also see why it standing out might not be good (since it fits in less, and C already_has_lots_of_underscores). As for the name, _Lengthof is OK but sounds a bit similar to sizeof, and I can see _Lengthof("""")==1 being odd. _Nelemsof looks weird but makes a lot of sense."
54,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,1,3,0,-3,3,-1,-3,3,5,3,1,5,-1,1,1,3,0,3,3,0,3,-5,-5,-5,5,
55,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,1,3,3,-1,-3,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,-1,1,5,-5,-5,-1,3,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-1,3,5,-3,-3,-3,5,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,5,3,-5,-5,-5,-5,3,-5,5,-5,1,1,-5,-5,-5,1,3,5,-5,-5,-5,-5,-5,-5,-5,
59,2 to 5 years ago,10 to 20 years,Hobbyist / Personal Projects,1,3,3,-1,-1,-1,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,20 to 30 years ago,20 to 30 years,Professional / Industrial Software Development,3,5,3,-3,-1,-1,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,3,5,-3,-1,-3,-5,5,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,5 to 10 years ago,2 to 5 years,Hobbyist / Personal Projects,-5,-3,3,-1,-3,1,1,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,10 to 20 years ago,10 to 20 years,Professional / Industrial Software Development,-1,-3,5,-1,-1,3,-3,-3,3,-3,-3,-3,-3,-1,3,-3,-1,-1,-1,1,5,-3,-1,1,1,
64,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,3,5,-3,-3,-3,3,3,0,3,3,1,-1,-1,-1,-1,-1,-1,5,5,3,-1,-1,-1,-1,"keep up the good work chad, thank you for everything"
65,Recently (0 to 2 years ago),Recently (0 to 2 years),Professional / Industrial Software Development,-1,3,3,-3,-5,-1,1,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,5,-3,-1,-3,-5,3,-3,3,-1,3,5,-3,-3,-5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,
67,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,5,5,-5,-5,-5,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,0,0,0,-5,-5,-5,-5,
68,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-5,-3,3,-1,-1,-3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thanks
69,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-1,3,5,-1,-1,-1,0,-5,0,-5,3,3,-5,-1,-1,-5,-1,-1,-5,5,5,-5,-1,-1,0,"Not a fan of C++ putting keywords in random places (override should be where 'virtual' is), so want to avoid that in C as well. Let's keep the language feeling consistent."
70,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,5,3,-5,-1,1,-3,-1,5,1,3,5,-3,-3,-1,-5,-5,-5,-1,1,3,-5,-5,-5,1,
71,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,-1,5,-3,-3,-3,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,"Count, as in Sesame Street. Ah! Ah! Ahhh!!!"
72,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,1,5,-5,-3,-1,-1,5,1,1,-1,1,-1,-3,-1,-3,-3,-3,5,3,5,-5,-5,-5,-3,
73,Recently (0 to 2 years ago),10 to 20 years,Academic / Research Software Development,3,5,1,-1,-3,-1,3,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,Recently (0 to 2 years ago),5 to 10 years,Hobbyist / Personal Projects,1,3,5,-1,-1,-3,-1,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,3,5,1,3,-5,-3,5,-5,3,-5,5,-1,-5,-1,-3,-5,3,-1,-5,3,-3,-5,1,1,-5,hi
76,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,5,3,5,1,1,3,3,1,5,1,3,5,1,3,5,1,5,5,1,5,5,1,3,3,3,
77,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,5,1,-5,-3,-3,1,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,-3,-3,-1,3,3,1,-5,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,-3,-1,5,-3,-1,-3,3,1,-1,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,
80,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-5,5,5,-3,-3,1,5,-1,1,-1,3,1,-1,3,1,-5,-5,-5,3,5,3,-3,-3,-3,-3,
81,Recently (0 to 2 years ago),5 to 10 years,Hobbyist / Personal Projects,1,-3,3,-5,-1,1,5,-1,-3,-5,-3,-5,-1,1,-3,-1,1,-3,-1,3,-3,-5,-3,-5,-1,
82,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,3,3,3,-1,-1,-3,3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Does nitems() do something different or why can't the macro just do the same and people need to undefine it or update the BSD headers when including the keyword header?
83,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,-3,5,3,-3,1,5,5,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,1,1,5,5,-1,-5,5,3,-5,1,1,-1,-5,-5,-5,1,1,1,1,5,-1,1,5,-1,-1,
85,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,1,1,5,-3,-3,-1,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,-1,5,3,-3,-3,-5,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thanks for doing this!
87,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,-5,-5,-3,5,3,-3,5,-1,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-1,-1,1,5,3,-3,There should be recommendations of diagnostics that detect legacy overlap in use of an identifier that clashes with any new keyword.
88,5 to 10 years ago,Recently (0 to 2 years),Professional / Industrial Software Development,5,-1,3,-1,-3,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,Recently (0 to 2 years ago),5 to 10 years,Academic / Research Software Development,-3,-1,5,-3,-1,1,-1,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,Recently (0 to 2 years ago),2 to 5 years,Academic / Research Software Development,-3,-1,1,-5,-5,3,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,-3,-1,3,5,3,1,5,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,-3,-3,5,-5,-1,-5,1,3,5,-3,-5,-3,-5,-5,-5,-3,-5,-3,5,3,5,-5,-5,-5,-1,"While I hate the transition period between underscores macros and lowercase keywords, I recognize it is necessary for such a basic and core concept that will have been implemented independently many times over the last 40+ years. Opting in with a header feels too obtuse however."
93,Recently (0 to 2 years ago),20 to 30 years,Academic / Research Software Development,-3,-1,3,1,3,-5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In FreeBSD we’d most likely be fine if nitems was stepped on by the standard. In general we don’t expect things to all work when a compiler upgrade comes along.
94,Recently (0 to 2 years ago),5 to 10 years,Academic / Research Software Development,-5,-1,-1,-3,-3,5,0,0,0,-1,-3,-3,1,1,3,-5,-5,-5,1,1,-3,-5,-5,-5,-5,
95,2 to 5 years ago,20 to 30 years,Hobbyist / Personal Projects,-1,1,5,-5,-3,-3,-3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,-1,5,3,-5,-5,3,1,-3,5,-1,3,5,3,3,3,-5,-1,-3,1,1,3,-5,-5,-5,-5,"View the keywords in a vacuum, someone with minimal knowledge has to understand what it means ""nelems"" means little without the context of ""number of elements."" This is a common complaint with C functions, see the string/memory functions. ""lenof"" also suffers from this whereas ""countof"" and ""lengthof"" are verbose."
97,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,1,3,5,-3,-3,-3,3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thanks for adding this feature! This is a nice upgrade
98,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,5,3,5,-3,-3,-3,5,-3,-5,-3,1,-5,-5,-5,-5,-3,5,-5,-3,3,-5,-5,-5,-5,-5,"nelemsof or nelementsof are concatenations of too many words, I have hard time even pronouncing it.  And I think that extentof is too confusing for most people."
99,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,-1,3,3,3,-1,3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,Recently (0 to 2 years ago),2 to 5 years,Academic / Research Software Development,3,3,5,-1,-5,-3,5,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,1,5,3,3,-3,3,-3,5,-3,1,3,-5,-3,-3,-3,1,3,-3,3,5,-3,1,3,3,
102,Recently (0 to 2 years ago),20 to 30 years,Software Mentor; Professor / Teacher; Trainer,-5,1,5,-5,-5,-5,1,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,5,-5,-5,-5,-5,
103,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,1,-1,5,-3,-5,-5,-5,-3,5,-5,-5,1,-5,-5,-3,-5,-5,3,-5,-5,5,-5,-5,-3,-1,
104,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-3,-1,5,-3,-5,3,-3,-5,5,-3,-1,-1,-1,1,3,-3,-3,-3,-3,3,5,-5,-3,-1,-3,
105,Recently (0 to 2 years ago),10 to 20 years,Software Mentor; Professor / Teacher; Trainer,5,-3,0,-3,-3,1,5,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,2 to 5 years ago,Recently (0 to 2 years),Hobbyist / Personal Projects,-3,3,3,-1,-3,-1,-3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,-3,3,1,-3,-5,5,5,-5,3,-3,1,3,-3,3,5,-3,-1,-3,-3,1,3,-5,-3,-3,-3,using _Under naming and not including a macro in a header would be frustrating
108,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,-1,1,5,3,-3,3,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,Recently (0 to 2 years ago),5 to 10 years,Hobbyist / Personal Projects,3,3,3,-1,-3,-3,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,_Howmany()
110,Recently (0 to 2 years ago),2 to 5 years,Academic / Research Software Development,5,-1,1,-3,-3,-5,-1,-5,3,-5,-3,-1,-5,-3,-3,-3,1,5,-5,1,3,-5,-5,-5,-5,
111,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,-3,5,1,3,3,1,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My concern is confusing the count of items in the array with the size (or length) of the array in bytes. Names with ""count"" and ""element"" in them help me. I'm unsure about what ""length"" means at first glance, even with having done more python than anything recently."
112,Recently (0 to 2 years ago),10 to 20 years,Software Mentor; Professor / Teacher; Trainer,1,3,5,-3,1,3,5,-3,1,-1,3,-3,-1,5,1,-1,1,-1,-1,5,-3,-1,3,1,1,
113,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,3,5,-1,1,-3,-5,1,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,Recently (0 to 2 years ago),10 to 20 years,Academic / Research Software Development,-1,1,5,-5,-3,3,-1,-3,5,-3,-1,1,-3,-1,3,-3,-3,-1,-3,-3,5,-5,-5,-5,-3,
115,10 to 20 years ago,5 to 10 years,Professional / Industrial Software Development,-3,-1,3,-5,-5,1,-1,-5,3,-5,-3,-1,-5,1,5,-5,-3,-3,-5,-1,3,-5,-5,-5,-5,Have some guts for land's sake and just add the dang keyword!
116,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,3,1,1,-1,-1,-3,3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thank you for gathering user feedback on stuff like this!
117,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,5,3,3,-5,-5,-5,3,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,-1,-1,-5,-5,5,0,0,0,0,-3,-3,3,3,0,-3,-3,-3,-1,-1,-1,-3,-3,-3,-3,
119,Recently (0 to 2 years ago),30+ years,Software Mentor; Professor / Teacher; Trainer,3,3,5,1,-1,-3,5,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I am still writing C1999 code and I expect to be doing so forever.  In my opinion the best option of all (not on this list) would be to withdraw C2x, disband WG14 and never put out another revision of the C standard. Let C be *done*."
120,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-5,-5,1,-1,5,-1,5,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,-5,5,-1,-5,3,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
